Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,18
id_1,01/06/2025 00:00:00,12
id_2,01/06/2025 00:00:00,18
id_3,01/06/2025 00:00:00,16
id_4,01/06/2025 00:00:00,16
id_0,01/07/2025 00:00:00,18.13
id_1,01/07/2025 00:00:00,12.03
id_2,01/07/2025 00:00:00,18.23
id_3,01/07/2025 00:00:00,15.63
id_4,01/07/2025 00:00:00,16.5
id_0,01/08/2025 00:00:00,18.37
id_1,01/08/2025 00:00:00,12.22
id_2,01/08/2025 00:00:00,18.36
id_3,01/08/2025 00:00:00,15.55
id_4,01/08/2025 00:00:00,15.92
id_0,01/09/2025 00:00:00,18.49
id_1,01/09/2025 00:00:00,12.37
id_2,01/09/2025 00:00:00,17.81
id_3,01/09/2025 00:00:00,15.17
id_4,01/09/2025 00:00:00,16.05
id_0,01/10/2025 00:00:00,18.43
id_1,01/10/2025 00:00:00,12.31
id_2,01/10/2025 00:00:00,17.93
id_3,01/10/2025 00:00:00,14.94
id_4,01/10/2025 00:00:00,16.89
id_0,01/13/2025 00:00:00,18.56
id_1,01/13/2025 00:00:00,12.27
id_2,01/13/2025 00:00:00,17.98
id_3,01/13/2025 00:00:00,15.13
id_4,01/13/2025 00:00:00,17.24
id_0,01/14/2025 00:00:00,18.92
id_1,01/14/2025 00:00:00,12.28
id_2,01/14/2025 00:00:00,17.96
id_3,01/14/2025 00:00:00,15.35
id_4,01/14/2025 00:00:00,16.68
id_0,01/15/2025 00:00:00,18.73
id_1,01/15/2025 00:00:00,12.2
id_2,01/15/2025 00:00:00,18.62
id_3,01/15/2025 00:00:00,15.45
id_4,01/15/2025 00:00:00,17.27
id_0,01/16/2025 00:00:00,18.76
id_1,01/16/2025 00:00:00,12.24
id_2,01/16/2025 00:00:00,19.05
id_3,01/16/2025 00:00:00,15.81
id_4,01/16/2025 00:00:00,17.41
id_0,01/17/2025 00:00:00,18.83
id_1,01/17/2025 00:00:00,12.16
id_2,01/17/2025 00:00:00,18.82
id_3,01/17/2025 00:00:00,15.82
id_4,01/17/2025 00:00:00,17.82
id_0,01/20/2025 00:00:00,18.58
id_1,01/20/2025 00:00:00,12.12
id_2,01/20/2025 00:00:00,19.27
id_3,01/20/2025 00:00:00,16.18
id_4,01/20/2025 00:00:00,18.02
id_0,01/21/2025 00:00:00,18.63
id_1,01/21/2025 00:00:00,12.07
id_2,01/21/2025 00:00:00,20.4
id_3,01/21/2025 00:00:00,16.37
id_4,01/21/2025 00:00:00,18.08
id_0,01/22/2025 00:00:00,18.59
id_1,01/22/2025 00:00:00,12.05
id_2,01/22/2025 00:00:00,20.13
id_3,01/22/2025 00:00:00,15.9
id_4,01/22/2025 00:00:00,18.42
id_0,01/23/2025 00:00:00,18.5
id_1,01/23/2025 00:00:00,12.06
id_2,01/23/2025 00:00:00,20.5
id_3,01/23/2025 00:00:00,16.28
id_4,01/23/2025 00:00:00,18.64
id_0,01/24/2025 00:00:00,18.35
id_1,01/24/2025 00:00:00,12.39
id_2,01/24/2025 00:00:00,20.91
id_3,01/24/2025 00:00:00,16.59
id_4,01/24/2025 00:00:00,18.89
id_0,01/27/2025 00:00:00,18.79
id_1,01/27/2025 00:00:00,12.27
id_2,01/27/2025 00:00:00,21
id_3,01/27/2025 00:00:00,16.13
id_4,01/27/2025 00:00:00,19.27
id_0,01/28/2025 00:00:00,18.67
id_1,01/28/2025 00:00:00,12.25
id_2,01/28/2025 00:00:00,20.98
id_3,01/28/2025 00:00:00,16.22
id_4,01/28/2025 00:00:00,18.76
id_0,01/29/2025 00:00:00,18.84
id_1,01/29/2025 00:00:00,12.37
id_2,01/29/2025 00:00:00,20.84
id_3,01/29/2025 00:00:00,15.89
id_4,01/29/2025 00:00:00,19.61
id_0,01/30/2025 00:00:00,18.94
id_1,01/30/2025 00:00:00,12.43
id_2,01/30/2025 00:00:00,20.2
id_3,01/30/2025 00:00:00,15.75
id_4,01/30/2025 00:00:00,19.35
id_0,01/31/2025 00:00:00,18.88
id_1,01/31/2025 00:00:00,12.16
id_2,01/31/2025 00:00:00,20.81
id_3,01/31/2025 00:00:00,16.24
id_4,01/31/2025 00:00:00,20.12
id_0,02/03/2025 00:00:00,19.22
id_1,02/03/2025 00:00:00,12.14
id_2,02/03/2025 00:00:00,20.96
id_3,02/03/2025 00:00:00,16.71
id_4,02/03/2025 00:00:00,20.25
id_0,02/04/2025 00:00:00,18.53
id_1,02/04/2025 00:00:00,12.22
id_2,02/04/2025 00:00:00,21.41
id_3,02/04/2025 00:00:00,17.13
id_4,02/04/2025 00:00:00,20.41
id_0,02/05/2025 00:00:00,18.39
id_1,02/05/2025 00:00:00,12.11
id_2,02/05/2025 00:00:00,21.92
id_3,02/05/2025 00:00:00,17.1
id_4,02/05/2025 00:00:00,20.39
id_0,02/06/2025 00:00:00,18.14
id_1,02/06/2025 00:00:00,12.07
id_2,02/06/2025 00:00:00,22.45
id_3,02/06/2025 00:00:00,16.98
id_4,02/06/2025 00:00:00,20.31
id_0,02/07/2025 00:00:00,18.68
id_1,02/07/2025 00:00:00,12.07
id_2,02/07/2025 00:00:00,22.39
id_3,02/07/2025 00:00:00,16.84
id_4,02/07/2025 00:00:00,19.69
id_0,02/10/2025 00:00:00,18.63
id_1,02/10/2025 00:00:00,12.36
id_2,02/10/2025 00:00:00,22.7
id_3,02/10/2025 00:00:00,16.92
id_4,02/10/2025 00:00:00,19.71
id_0,02/11/2025 00:00:00,18.44
id_1,02/11/2025 00:00:00,12.45
id_2,02/11/2025 00:00:00,22.83
id_3,02/11/2025 00:00:00,16.58
id_4,02/11/2025 00:00:00,19.6
id_0,02/12/2025 00:00:00,18.16
id_1,02/12/2025 00:00:00,12.52
id_2,02/12/2025 00:00:00,22.37
id_3,02/12/2025 00:00:00,16.65
id_4,02/12/2025 00:00:00,18.8
id_0,02/13/2025 00:00:00,18.07
id_1,02/13/2025 00:00:00,12.44
id_2,02/13/2025 00:00:00,20.98
id_3,02/13/2025 00:00:00,16.79
id_4,02/13/2025 00:00:00,18.58
id_0,02/14/2025 00:00:00,17.78
id_1,02/14/2025 00:00:00,12.33
id_2,02/14/2025 00:00:00,20.97
id_3,02/14/2025 00:00:00,16.3
id_4,02/14/2025 00:00:00,19.28
id_0,02/17/2025 00:00:00,18.06
id_1,02/17/2025 00:00:00,12.32
id_2,02/17/2025 00:00:00,21.15
id_3,02/17/2025 00:00:00,16.33
id_4,02/17/2025 00:00:00,19.41
id_0,02/18/2025 00:00:00,18.07
id_1,02/18/2025 00:00:00,12.5
id_2,02/18/2025 00:00:00,21.27
id_3,02/18/2025 00:00:00,16.23
id_4,02/18/2025 00:00:00,18.9
id_0,02/19/2025 00:00:00,17.97
id_1,02/19/2025 00:00:00,12.69
id_2,02/19/2025 00:00:00,22.25
id_3,02/19/2025 00:00:00,15.46
id_4,02/19/2025 00:00:00,19.26
id_0,02/20/2025 00:00:00,18.02
id_1,02/20/2025 00:00:00,12.65
id_2,02/20/2025 00:00:00,22.81
id_3,02/20/2025 00:00:00,15.86
id_4,02/20/2025 00:00:00,18.88
id_0,02/21/2025 00:00:00,17.71
id_1,02/21/2025 00:00:00,12.72
id_2,02/21/2025 00:00:00,23.77
id_3,02/21/2025 00:00:00,15.28
id_4,02/21/2025 00:00:00,19.17
id_0,02/24/2025 00:00:00,18.15
id_1,02/24/2025 00:00:00,12.78
id_2,02/24/2025 00:00:00,23.63
id_3,02/24/2025 00:00:00,15.46
id_4,02/24/2025 00:00:00,18.61
id_0,02/25/2025 00:00:00,18.27
id_1,02/25/2025 00:00:00,12.79
id_2,02/25/2025 00:00:00,23.06
id_3,02/25/2025 00:00:00,15.54
id_4,02/25/2025 00:00:00,18.76
id_0,02/26/2025 00:00:00,17.96
id_1,02/26/2025 00:00:00,12.69
id_2,02/26/2025 00:00:00,23.49
id_3,02/26/2025 00:00:00,15.83
id_4,02/26/2025 00:00:00,19.29
id_0,02/27/2025 00:00:00,18.09
id_1,02/27/2025 00:00:00,12.59
id_2,02/27/2025 00:00:00,23.93
id_3,02/27/2025 00:00:00,15.74
id_4,02/27/2025 00:00:00,19.1
id_0,02/28/2025 00:00:00,18.05
id_1,02/28/2025 00:00:00,12.3
id_2,02/28/2025 00:00:00,24.22
id_3,02/28/2025 00:00:00,16.43
id_4,02/28/2025 00:00:00,19.68
id_0,03/03/2025 00:00:00,17.77
id_1,03/03/2025 00:00:00,12.22
id_2,03/03/2025 00:00:00,25.44
id_3,03/03/2025 00:00:00,16.91
id_4,03/03/2025 00:00:00,19.36
id_0,03/04/2025 00:00:00,17.96
id_1,03/04/2025 00:00:00,12.23
id_2,03/04/2025 00:00:00,24.62
id_3,03/04/2025 00:00:00,17.35
id_4,03/04/2025 00:00:00,19.24
id_0,03/05/2025 00:00:00,18.25
id_1,03/05/2025 00:00:00,11.92
id_2,03/05/2025 00:00:00,24.55
id_3,03/05/2025 00:00:00,17.36
id_4,03/05/2025 00:00:00,19.35
id_0,03/06/2025 00:00:00,18.3
id_1,03/06/2025 00:00:00,12.09
id_2,03/06/2025 00:00:00,23.76
id_3,03/06/2025 00:00:00,17.5
id_4,03/06/2025 00:00:00,19.7
id_0,03/07/2025 00:00:00,18.93
id_1,03/07/2025 00:00:00,12.25
id_2,03/07/2025 00:00:00,23.99
id_3,03/07/2025 00:00:00,17.3
id_4,03/07/2025 00:00:00,19.66
id_0,03/10/2025 00:00:00,19.34
id_1,03/10/2025 00:00:00,12.31
id_2,03/10/2025 00:00:00,23.89
id_3,03/10/2025 00:00:00,17.92
id_4,03/10/2025 00:00:00,19.91
id_0,03/11/2025 00:00:00,19.74
id_1,03/11/2025 00:00:00,12.56
id_2,03/11/2025 00:00:00,24.39
id_3,03/11/2025 00:00:00,18.44
id_4,03/11/2025 00:00:00,19.93
id_0,03/12/2025 00:00:00,19.68
id_1,03/12/2025 00:00:00,12.68
id_2,03/12/2025 00:00:00,25.81
id_3,03/12/2025 00:00:00,18.09
id_4,03/12/2025 00:00:00,20.04
id_0,03/13/2025 00:00:00,19.6
id_1,03/13/2025 00:00:00,12.59
id_2,03/13/2025 00:00:00,25.85
id_3,03/13/2025 00:00:00,18.2
id_4,03/13/2025 00:00:00,20.18
id_0,03/14/2025 00:00:00,19.62
id_1,03/14/2025 00:00:00,12.41
id_2,03/14/2025 00:00:00,26.19
id_3,03/14/2025 00:00:00,17.64
id_4,03/14/2025 00:00:00,20.46
id_0,03/17/2025 00:00:00,19.87
id_1,03/17/2025 00:00:00,12.66
id_2,03/17/2025 00:00:00,27.42
id_3,03/17/2025 00:00:00,17.98
id_4,03/17/2025 00:00:00,21.13
id_0,03/18/2025 00:00:00,19.69
id_1,03/18/2025 00:00:00,12.41
id_2,03/18/2025 00:00:00,28.23
id_3,03/18/2025 00:00:00,18.15
id_4,03/18/2025 00:00:00,21.42
id_0,03/19/2025 00:00:00,19.65
id_1,03/19/2025 00:00:00,12.59
id_2,03/19/2025 00:00:00,28.37
id_3,03/19/2025 00:00:00,19.03
id_4,03/19/2025 00:00:00,21.42
id_0,03/20/2025 00:00:00,19.7
id_1,03/20/2025 00:00:00,12.39
id_2,03/20/2025 00:00:00,27.94
id_3,03/20/2025 00:00:00,18.62
id_4,03/20/2025 00:00:00,21.19
id_0,03/21/2025 00:00:00,19.69
id_1,03/21/2025 00:00:00,12.2
id_2,03/21/2025 00:00:00,29.25
id_3,03/21/2025 00:00:00,18.54
id_4,03/21/2025 00:00:00,21.13
id_0,03/24/2025 00:00:00,19.45
id_1,03/24/2025 00:00:00,12.28
id_2,03/24/2025 00:00:00,29.01
id_3,03/24/2025 00:00:00,19.12
id_4,03/24/2025 00:00:00,21.22
id_0,03/25/2025 00:00:00,19.44
id_1,03/25/2025 00:00:00,12.43
id_2,03/25/2025 00:00:00,28.81
id_3,03/25/2025 00:00:00,18.8
id_4,03/25/2025 00:00:00,21.18
id_0,03/26/2025 00:00:00,20.58
id_1,03/26/2025 00:00:00,12.53
id_2,03/26/2025 00:00:00,28.46
id_3,03/26/2025 00:00:00,18.03
id_4,03/26/2025 00:00:00,20.86
id_0,03/27/2025 00:00:00,21.09
id_1,03/27/2025 00:00:00,12.61
id_2,03/27/2025 00:00:00,29.12
id_3,03/27/2025 00:00:00,18.19
id_4,03/27/2025 00:00:00,20.77
id_0,03/28/2025 00:00:00,21.33
id_1,03/28/2025 00:00:00,12.6
id_2,03/28/2025 00:00:00,28.55
id_3,03/28/2025 00:00:00,19.15
id_4,03/28/2025 00:00:00,21.29
id_0,03/31/2025 00:00:00,21.24
id_1,03/31/2025 00:00:00,12.92
id_2,03/31/2025 00:00:00,28.19
id_3,03/31/2025 00:00:00,19.05
id_4,03/31/2025 00:00:00,21.38
id_0,04/01/2025 00:00:00,20.97
id_1,04/01/2025 00:00:00,13.1
id_2,04/01/2025 00:00:00,27.91
id_3,04/01/2025 00:00:00,19.36
id_4,04/01/2025 00:00:00,21.62
id_0,04/02/2025 00:00:00,21.18
id_1,04/02/2025 00:00:00,13.23
id_2,04/02/2025 00:00:00,27.03
id_3,04/02/2025 00:00:00,19.27
id_4,04/02/2025 00:00:00,21.2
id_0,04/03/2025 00:00:00,21.94
id_1,04/03/2025 00:00:00,13.26
id_2,04/03/2025 00:00:00,26.32
id_3,04/03/2025 00:00:00,19.15
id_4,04/03/2025 00:00:00,20.96
id_0,04/04/2025 00:00:00,22.54
id_1,04/04/2025 00:00:00,13.1
id_2,04/04/2025 00:00:00,26.47
id_3,04/04/2025 00:00:00,18.59
id_4,04/04/2025 00:00:00,21.47
id_0,04/07/2025 00:00:00,22.4
id_1,04/07/2025 00:00:00,13.3
id_2,04/07/2025 00:00:00,26.47
id_3,04/07/2025 00:00:00,18.5
id_4,04/07/2025 00:00:00,21.1
id_0,04/08/2025 00:00:00,22.83
id_1,04/08/2025 00:00:00,13.27
id_2,04/08/2025 00:00:00,26.96
id_3,04/08/2025 00:00:00,18.65
id_4,04/08/2025 00:00:00,21.43
id_0,04/09/2025 00:00:00,23.14
id_1,04/09/2025 00:00:00,13.23
id_2,04/09/2025 00:00:00,27.81
id_3,04/09/2025 00:00:00,18.07
id_4,04/09/2025 00:00:00,20.99
id_0,04/10/2025 00:00:00,23.71
id_1,04/10/2025 00:00:00,13.16
id_2,04/10/2025 00:00:00,27.29
id_3,04/10/2025 00:00:00,17.22
id_4,04/10/2025 00:00:00,20.27
id_0,04/11/2025 00:00:00,24.24
id_1,04/11/2025 00:00:00,13.33
id_2,04/11/2025 00:00:00,26.46
id_3,04/11/2025 00:00:00,17.74
id_4,04/11/2025 00:00:00,19.97
id_0,04/14/2025 00:00:00,24.44
id_1,04/14/2025 00:00:00,13.47
id_2,04/14/2025 00:00:00,25.71
id_3,04/14/2025 00:00:00,18.01
id_4,04/14/2025 00:00:00,19.65
id_0,04/15/2025 00:00:00,24.35
id_1,04/15/2025 00:00:00,13.54
id_2,04/15/2025 00:00:00,24.42
id_3,04/15/2025 00:00:00,18.4
id_4,04/15/2025 00:00:00,20.21
id_0,04/16/2025 00:00:00,23.97
id_1,04/16/2025 00:00:00,13.62
id_2,04/16/2025 00:00:00,24.19
id_3,04/16/2025 00:00:00,18.09
id_4,04/16/2025 00:00:00,20.54
id_0,04/17/2025 00:00:00,23.87
id_1,04/17/2025 00:00:00,13.44
id_2,04/17/2025 00:00:00,23.1
id_3,04/17/2025 00:00:00,18.88
id_4,04/17/2025 00:00:00,20.78
id_0,04/22/2025 00:00:00,24.15
id_1,04/22/2025 00:00:00,13.44
id_2,04/22/2025 00:00:00,23.7
id_3,04/22/2025 00:00:00,18.37
id_4,04/22/2025 00:00:00,20.6
id_0,04/23/2025 00:00:00,23.86
id_1,04/23/2025 00:00:00,13.62
id_2,04/23/2025 00:00:00,22.96
id_3,04/23/2025 00:00:00,18.25
id_4,04/23/2025 00:00:00,20.06
id_0,04/24/2025 00:00:00,23.71
id_1,04/24/2025 00:00:00,13.62
id_2,04/24/2025 00:00:00,22.81
id_3,04/24/2025 00:00:00,17.43
id_4,04/24/2025 00:00:00,20.38
id_0,04/25/2025 00:00:00,23.4
id_1,04/25/2025 00:00:00,13.56
id_2,04/25/2025 00:00:00,22.81
id_3,04/25/2025 00:00:00,17.3
id_4,04/25/2025 00:00:00,19.87
id_0,04/28/2025 00:00:00,23.06
id_1,04/28/2025 00:00:00,13.56
id_2,04/28/2025 00:00:00,23.94
id_3,04/28/2025 00:00:00,16.89
id_4,04/28/2025 00:00:00,20.25
id_0,04/29/2025 00:00:00,23.05
id_1,04/29/2025 00:00:00,13.55
id_2,04/29/2025 00:00:00,24.39
id_3,04/29/2025 00:00:00,16.76
id_4,04/29/2025 00:00:00,19.76
id_0,04/30/2025 00:00:00,22.87
id_1,04/30/2025 00:00:00,13.7
id_2,04/30/2025 00:00:00,23.89
id_3,04/30/2025 00:00:00,16.72
id_4,04/30/2025 00:00:00,19.46
id_0,05/01/2025 00:00:00,22.67
id_1,05/01/2025 00:00:00,13.69
id_2,05/01/2025 00:00:00,24
id_3,05/01/2025 00:00:00,16.61
id_4,05/01/2025 00:00:00,19.79
id_0,05/02/2025 00:00:00,22.17
id_1,05/02/2025 00:00:00,13.72
id_2,05/02/2025 00:00:00,23.18
id_3,05/02/2025 00:00:00,17.05
id_4,05/02/2025 00:00:00,20.3
id_0,05/05/2025 00:00:00,22.15
id_1,05/05/2025 00:00:00,13.53
id_2,05/05/2025 00:00:00,22.5
id_3,05/05/2025 00:00:00,17.15
id_4,05/05/2025 00:00:00,20.46
id_0,05/06/2025 00:00:00,22.03
id_1,05/06/2025 00:00:00,13.6
id_2,05/06/2025 00:00:00,22.36
id_3,05/06/2025 00:00:00,17.12
