Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,13
id_1,01/06/2025 00:00:00,14
id_2,01/06/2025 00:00:00,15
id_0,01/07/2025 00:00:00,13.19
id_1,01/07/2025 00:00:00,14.01
id_2,01/07/2025 00:00:00,14.76
id_0,01/08/2025 00:00:00,13.15
id_1,01/08/2025 00:00:00,14.02
id_2,01/08/2025 00:00:00,14.48
id_0,01/09/2025 00:00:00,13.66
id_1,01/09/2025 00:00:00,14.16
id_2,01/09/2025 00:00:00,14.59
id_0,01/10/2025 00:00:00,13.94
id_1,01/10/2025 00:00:00,14.1
id_2,01/10/2025 00:00:00,14.45
id_0,01/13/2025 00:00:00,13.78
id_1,01/13/2025 00:00:00,14.23
id_2,01/13/2025 00:00:00,14.44
id_0,01/14/2025 00:00:00,13.89
id_1,01/14/2025 00:00:00,14.43
id_2,01/14/2025 00:00:00,14.31
id_0,01/15/2025 00:00:00,14.15
id_1,01/15/2025 00:00:00,14.54
id_2,01/15/2025 00:00:00,14.29
id_0,01/16/2025 00:00:00,14.27
id_1,01/16/2025 00:00:00,14.61
id_2,01/16/2025 00:00:00,14.34
id_0,01/17/2025 00:00:00,14.64
id_1,01/17/2025 00:00:00,14.47
id_2,01/17/2025 00:00:00,13.92
id_0,01/20/2025 00:00:00,14.64
id_1,01/20/2025 00:00:00,14.48
id_2,01/20/2025 00:00:00,14.06
id_0,01/21/2025 00:00:00,15.34
id_1,01/21/2025 00:00:00,14.59
id_2,01/21/2025 00:00:00,14.03
id_0,01/22/2025 00:00:00,15.56
id_1,01/22/2025 00:00:00,14.3
id_2,01/22/2025 00:00:00,14.29
id_0,01/23/2025 00:00:00,15.44
id_1,01/23/2025 00:00:00,14.51
id_2,01/23/2025 00:00:00,14.16
id_0,01/24/2025 00:00:00,15.5
id_1,01/24/2025 00:00:00,14.7
id_2,01/24/2025 00:00:00,14.24
id_0,01/27/2025 00:00:00,15.18
id_1,01/27/2025 00:00:00,14.92
id_2,01/27/2025 00:00:00,14.34
id_0,01/28/2025 00:00:00,15.53
id_1,01/28/2025 00:00:00,15.01
id_2,01/28/2025 00:00:00,14.58
id_0,01/29/2025 00:00:00,15.33
id_1,01/29/2025 00:00:00,14.98
id_2,01/29/2025 00:00:00,14.62
id_0,01/30/2025 00:00:00,15.62
id_1,01/30/2025 00:00:00,14.84
id_2,01/30/2025 00:00:00,14.26
id_0,01/31/2025 00:00:00,15.7
id_1,01/31/2025 00:00:00,14.68
id_2,01/31/2025 00:00:00,13.9
id_0,02/03/2025 00:00:00,15.68
id_1,02/03/2025 00:00:00,14.65
id_2,02/03/2025 00:00:00,13.77
id_0,02/04/2025 00:00:00,15.62
id_1,02/04/2025 00:00:00,14.74
id_2,02/04/2025 00:00:00,13.59
id_0,02/05/2025 00:00:00,15.87
id_1,02/05/2025 00:00:00,14.93
id_2,02/05/2025 00:00:00,13.44
id_0,02/06/2025 00:00:00,15.58
id_1,02/06/2025 00:00:00,14.82
id_2,02/06/2025 00:00:00,13.31
id_0,02/07/2025 00:00:00,15.73
id_1,02/07/2025 00:00:00,14.8
id_2,02/07/2025 00:00:00,13
id_0,02/10/2025 00:00:00,15.63
id_1,02/10/2025 00:00:00,14.72
id_2,02/10/2025 00:00:00,12.81
id_0,02/11/2025 00:00:00,15.6
id_1,02/11/2025 00:00:00,14.78
id_2,02/11/2025 00:00:00,13.2
id_0,02/12/2025 00:00:00,15.71
id_1,02/12/2025 00:00:00,14.62
id_2,02/12/2025 00:00:00,13.06
id_0,02/13/2025 00:00:00,15.47
id_1,02/13/2025 00:00:00,14.74
id_2,02/13/2025 00:00:00,12.85
id_0,02/14/2025 00:00:00,15.28
id_1,02/14/2025 00:00:00,14.82
id_2,02/14/2025 00:00:00,13.17
id_0,02/17/2025 00:00:00,15.11
id_1,02/17/2025 00:00:00,15.15
id_2,02/17/2025 00:00:00,13.66
id_0,02/18/2025 00:00:00,15.24
id_1,02/18/2025 00:00:00,15.17
id_2,02/18/2025 00:00:00,13.67
id_0,02/19/2025 00:00:00,15.03
id_1,02/19/2025 00:00:00,15.19
id_2,02/19/2025 00:00:00,13.58
id_0,02/20/2025 00:00:00,15.4
id_1,02/20/2025 00:00:00,15.13
id_2,02/20/2025 00:00:00,13.5
id_0,02/21/2025 00:00:00,14.84
id_1,02/21/2025 00:00:00,15.02
id_2,02/21/2025 00:00:00,13.23
id_0,02/24/2025 00:00:00,14.63
id_1,02/24/2025 00:00:00,15.02
id_2,02/24/2025 00:00:00,13.63
id_0,02/25/2025 00:00:00,15.26
id_1,02/25/2025 00:00:00,14.85
id_2,02/25/2025 00:00:00,13.18
id_0,02/26/2025 00:00:00,15.65
id_1,02/26/2025 00:00:00,14.96
id_2,02/26/2025 00:00:00,13.3
id_0,02/27/2025 00:00:00,15.3
id_1,02/27/2025 00:00:00,15.06
id_2,02/27/2025 00:00:00,13.67
id_0,02/28/2025 00:00:00,15.25
id_1,02/28/2025 00:00:00,15.14
id_2,02/28/2025 00:00:00,13.69
id_0,03/03/2025 00:00:00,15.62
id_1,03/03/2025 00:00:00,15.07
id_2,03/03/2025 00:00:00,14.08
id_0,03/04/2025 00:00:00,15.29
id_1,03/04/2025 00:00:00,14.97
id_2,03/04/2025 00:00:00,13.79
id_0,03/05/2025 00:00:00,15.04
id_1,03/05/2025 00:00:00,15.14
id_2,03/05/2025 00:00:00,13.85
id_0,03/06/2025 00:00:00,14.88
id_1,03/06/2025 00:00:00,15.29
id_2,03/06/2025 00:00:00,13.85
id_0,03/07/2025 00:00:00,14.32
id_1,03/07/2025 00:00:00,15.29
id_2,03/07/2025 00:00:00,14.04
id_0,03/10/2025 00:00:00,14.25
id_1,03/10/2025 00:00:00,15.24
id_2,03/10/2025 00:00:00,14.06
id_0,03/11/2025 00:00:00,14.58
id_1,03/11/2025 00:00:00,15.25
id_2,03/11/2025 00:00:00,14.12
id_0,03/12/2025 00:00:00,14.72
